ジャンル名,実売上xジャンル別係数
食品>精肉・肉加工品>加工品>フォアグラ,2568000
食品>パン・ジャム・シリアル>パン>スコーン,5165000
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,3681000
食品>精肉・肉加工品>加工品>ベーコン,5168000
食品>精肉・肉加工品>加工品>生ハム・プロシュート,17355000
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,3869000
食品>魚介類・水産加工品>貝類>ハマグリ,2156000
食品>精肉・肉加工品>鴨肉,3861000
食品>豆腐・納豆・こんにゃく>豆腐>セット・詰め合わせ,5519000
食品>野菜・きのこ>その他野菜>たけのこ,2920000
食品>精肉・肉加工品>鹿肉,4731000
食品>調味料>しょうゆ>薄口しょうゆ,2056000
食品>精肉・肉加工品>七面鳥,708000
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,2727000
食品>精肉・肉加工品>加工品>ハム>その他,2680000
食品>精肉・肉加工品>加工品>ソーセージ>フランクフルト,2248000
食品>精肉・肉加工品>精肉セット,6217000
食品>漬物・梅干し・キムチ>梅干し>干し梅,3401000
食品>魚介類・水産加工品>マグロ>大トロ,7707000
食品>精肉・肉加工品>猪肉,822000
食品>豆腐・納豆・こんにゃく>豆腐>湯葉,2331000
食品>漬物・梅干し・キムチ>漬物>酢漬け,3052000
食品>パン・ジャム・シリアル>パン>菓子パン>クリームパン,2777000
食品>惣菜>アジアン・エスニック惣菜>タイ料理>セット・詰め合わせ,419000
食品>惣菜>和風惣菜>たこ焼き,2317000
食品>漬物・梅干し・キムチ>漬物>らっきょう漬け,3758000
食品>パン・ジャム・シリアル>パン>フランスパン,8060000
食品>精肉・肉加工品>豚肉>ホルモン,2759000
食品>野菜・きのこ>その他野菜>山芋・自然薯,2150000
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,4753000
食品>惣菜>アジアン・エスニック惣菜>タイ料理>その他,1066000
食品>惣菜>アジアン・エスニック惣菜>タイ料理>トムヤムクン,220000
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>その他,122000
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>フォー,432000
食品>魚介類・水産加工品>魚卵>たらこ>真子,2100000
食品>漬物・梅干し・キムチ>梅干し>赤じそ漬け,4102000
食品>調味料>みそ>赤みそ,2975000
食品>調味料>スパイス>ガーリック,3841000
食品>惣菜>韓国惣菜>スープ,4195000
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>生春巻,148000
食品>惣菜>韓国惣菜>参鶏湯,2253000
食品>フルーツ・果物>ザクロ,2788000
食品>調味料>アジアン・エスニック調味料>ココナッツミルク,3105000
食品>野菜・きのこ>豆類>枝豆,2264000
食品>フルーツ・果物>バナナ,2670000
食品>パン・ジャム・シリアル>シリアル>ブラン,3548000
食品>粉類>そば粉,2145000
食品>練り物>魚肉ソーセージ,2261000
食品>魚介類・水産加工品>貝類>アサリ,2897000
食品>惣菜>アジアン・エスニック惣菜>南米料理>その他,890000
食品>漬物・梅干し・キムチ>漬物>みそ漬け,2386000
食品>惣菜>鍋セット>水炊き,2494000
食品>精肉・肉加工品>牛肉>みすじ,4122000
食品>豆腐・納豆・こんにゃく>豆腐>絹ごし豆腐,3701000
食品>調味料>しょうゆ>たまりじょうゆ,2576000
食品>調味料>みそ>白みそ,2060000
食品>惣菜>アジアン・エスニック惣菜>南米料理>タコス,346000
食品>野菜・きのこ>ねぎ,2856000
食品>精肉・肉加工品>羊肉>セット・詰め合わせ,2090000
食品>惣菜>中華惣菜・点心>ちまき,3049000
食品>惣菜>アジアン・エスニック惣菜>南米料理>トルティーヤ,270000
